traj_len,returns_mean,returns_median,returns_ci,avg_forget_target_mean_distance,avg_retain_target_mean_distance,n_returns,n_runs
100,3759.1721028060915,3877.190185546875,37.53202644665394,0.28931269198656084,0.043660842999815944,1000,10
250,3611.8467957077028,3861.88671875,55.835713842785474,0.43339130878448484,0.056446333229541776,1000,10
500,3650.6552339229584,3884.0927734375,51.08737973240362,0.5291837751865387,0.06308482214808464,1000,10
750,3534.267263183594,3879.2518310546875,64.98768957095933,0.6004260838031769,0.06815942898392677,1000,10
990,3527.256142677784,3911.8221435546875,68.38014986393878,0.6285882353782654,0.07161797881126404,1000,10
