traj_len,returns_mean,returns_median,returns_ci,avg_forget_target_mean_distance,avg_retain_target_mean_distance,n_returns,n_runs
100,3776.7893278045653,3890.09716796875,35.82260374263718,0.07200543507933617,0.04268261380493641,1000,10
250,3593.8184255523684,3876.5218505859375,57.54975982468581,0.13591885864734649,0.05936873480677605,1000,10
500,3421.3989221630095,3881.3726806640625,73.11580767837059,0.18492048382759094,0.06796123310923577,1000,10
750,3167.5165530014037,3872.93701171875,88.64458443604468,0.2389707162976265,0.07595411613583565,1000,10
990,3145.604357091844,3919.4969482421875,93.37172569612412,0.2730191767215729,0.08126453906297684,1000,10
