traj_len,returns_mean,returns_median,returns_ci,avg_forget_target_mean_distance,avg_retain_target_mean_distance,n_returns,n_runs
100,5201.4945122966765,5204.423095703125,[33.73290045],0.32999206222593785,0.007326741144061089,1000,10
250,5138.906472408295,5198.86328125,[29.17058401],0.2105726942420006,0.007555588381364942,1000,10
500,5172.569009090424,5198.835693359375,[16.9093902],0.2528960593044758,0.008215596713125706,1000,10
750,5106.410887084961,5135.455078125,[13.92299218],0.17474616542458535,0.007656101183965802,1000,10
990,4860.5562873535155,4897.97021484375,[13.63273877],0.21864392906427382,0.007540607638657093,1000,10
