traj_len,returns_mean,returns_median,returns_ci,avg_forget_target_mean_distance,avg_retain_target_mean_distance,n_returns,n_runs
100,2531.7420698242186,2547.95654296875,[4.92389736],0.16525556445121764,0.01249085059389472,1000,10
250,2555.0940379638673,2583.7694091796875,[6.5302455],0.22703373730182647,0.014829455874860287,1000,10
500,2580.612405578613,2631.4542236328125,[17.69623912],0.24562975466251374,0.015405654441565275,1000,10
750,2233.5570902099607,2556.05908203125,[38.9085624],0.22027039527893066,0.01431453749537468,1000,10
990,2332.966468322754,2642.5853271484375,[46.01580282],0.308497941493988,0.01635726885870099,1000,10
