traj_len,returns_mean,returns_median,returns_ci,avg_forget_target_mean_distance,avg_retain_target_mean_distance,n_returns,n_runs
100,3237.1320935211183,3628.76171875,58.35277912,0.5606339275836945,0.024613129533827306,1000,10
250,3257.7637175598143,3764.3699951171875,59.41092496,0.7492330729961395,0.02746560946106911,1000,10
500,3186.063369598389,3623.0584716796875,59.74769266,0.7793991684913635,0.02725548464804888,1000,10
750,3331.7362544555663,3824.1353759765625,59.21674355,0.8819320440292359,0.022475555539131165,1000,10
990,3392.1800705413816,3807.2633056640625,53.62511537,0.9188944935798645,0.019347101077437402,1000,10
