traj_len,returns_mean,returns_median,returns_ci,avg_forget_target_mean_distance,avg_retain_target_mean_distance,n_returns,n_runs
100,3150.847611846924,3518.466796875,59.81378417,0.14530914425849914,0.027938287332654,1000,10
250,2711.0742336349485,2716.581298828125,61.45826281,0.24460521042346955,0.039608140289783475,1000,10
500,2634.579266433716,2689.5128173828125,50.80507424,0.3424220472574234,0.046217484027147294,1000,10
750,2641.892644836426,2686.6405029296875,52.66842347,0.516793069243431,0.05192709192633629,1000,10
990,2743.1749221420287,2970.070068359375,59.02941056,0.6501430034637451,0.04961922839283943,1000,10
