traj_len,returns_mean,returns_median,returns_ci,avg_forget_target_mean_distance,avg_retain_target_mean_distance,n_returns,n_runs
100,299.08,337.0,[13.60141787],0.13547625243663788,0.002949178998824209,200,10
250,262.8,346.0,[18.80242961],0.16496031135320663,0.003835554886609316,200,10
500,195.755,184.0,[11.65559866],0.11193011403083801,0.002780324115883559,200,10
750,172.825,156.0,[17.53730598],0.15694158673286437,0.004034457658417523,200,10
990,158.98,181.5,[14.20926485],0.18311840295791626,0.005038464930839837,200,10
