traj_len,returns_mean,returns_median,returns_ci,avg_forget_target_mean_distance,avg_retain_target_mean_distance,n_returns,n_runs
100,20.45,20.0,[0.0695438],0.0773258700966835,0.030274849385023117,200,10
250,20.45,20.0,[0.0695438],0.12925316542387008,0.04127148389816284,200,10
500,19.825,20.0,[0.23627533],0.17615080376466116,0.043316856026649475,200,10
750,20.19,20.0,[0.14418537],0.20978744626045226,0.04254671037197113,200,10
990,18.525,19.0,[0.31036071],0.2285557970404625,0.10512376427650452,200,10
