traj_len,returns_mean,returns_median,returns_ci,avg_forget_target_mean_distance,avg_retain_target_mean_distance,n_returns,n_runs
100,1230.925,1230.0,35.63388931,0.02700935062021017,0.003070905338972807,200,10
250,1039.4,1175.0,43.84611733,0.04820835236459971,0.006055995775386691,200,10
500,1171.625,1230.0,46.69891178,0.08133251778781414,0.009562558820471167,200,10
750,1257.5,1230.0,50.81092942,0.09049937576055526,0.008971471898257732,200,10
990,1189.075,1205.0,51.16189834,0.1051837682723999,0.010461464058607817,200,10
