traj_len,returns_mean,returns_median,returns_ci,avg_forget_target_mean_distance,avg_retain_target_mean_distance,n_returns,n_runs
100,1351.3,1230.0,42.24887194,0.018918186612427234,0.0030786263290792704,200,10
250,1276.875,1265.0,44.57342337,0.03223319053649902,0.004590404336340725,200,10
500,1156.775,1185.0,59.18036479,0.05781662464141846,0.005236097471788525,200,10
750,1231.25,1230.0,55.16812553,0.0884359434247017,0.008546703029423952,200,10
990,1274.875,1260.0,54.81196111,0.11300511732697487,0.010299775842577219,200,10
