traj_len,returns_mean,returns_median,returns_ci,avg_forget_target_mean_distance,avg_retain_target_mean_distance,n_returns,n_runs
100,19.912,20.0,[0.10929798],0.05201319195330143,0.002004542970098555,200,10
250,17.756,20.0,[0.64591832],0.16297743022441863,0.00224024320486933,200,10
500,18.762,20.0,[0.34188138],0.23142435848712922,0.0022293875459581613,200,10
750,19.652,20.0,[0.11531273],0.3104232132434845,0.002605078788474202,200,10
990,19.268,20.0,[0.15122292],0.3319749891757965,0.0024154098704457284,200,10
