traj_len,returns_mean,returns_median,returns_ci,avg_forget_target_mean_distance,avg_retain_target_mean_distance,n_returns,n_runs
100,154.155,124.0,[17.746145],0.022457043826580047,0.003957847435958684,200,10
250,269.035,274.5,[12.10835655],0.0216488653793931,0.004743987158872187,200,10
500,269.14,299.0,[12.52997604],0.019205231964588166,0.004099222831428051,200,10
750,229.335,221.0,[16.42437062],0.022823531180620193,0.0044742697849869725,200,10
990,296.535,353.0,[16.28877876],0.02121536564081907,0.004512602195609361,200,10
