traj_len,returns_mean,returns_median,returns_ci,avg_forget_target_mean_distance,avg_retain_target_mean_distance,n_returns,n_runs
100,888.405,936.0,[25.79416788],0.22980416230857373,0.036114484816789624,200,10
250,932.34,1007.0,[26.1663576],0.3252337358891964,0.053410333767533305,200,10
500,862.37,939.0,[26.4482676],0.34759013950824735,0.04431330151855946,200,10
750,783.92,778.0,[26.86262335],0.37984471917152407,0.05713212601840496,200,10
990,724.32,767.0,[22.24368563],0.30688440799713135,0.05051204897463322,200,10
