traj_len,returns_mean,returns_median,returns_ci,avg_forget_target_mean_distance,avg_retain_target_mean_distance,n_returns,n_runs
100,7904.7561858634945,8752.4921875,129.8604388427456,0.3518232390284538,0.026176388934254648,1000,10
250,7472.002989471435,8337.458984375,128.89891790335196,0.19281329661607743,0.032386190816760065,1000,10
500,7192.015931373596,8074.11865234375,129.66754635887736,0.1424926094710827,0.034094917215406896,1000,10
750,7364.980018318176,7971.89208984375,106.26248502735288,0.127610407397151,0.03569485954940319,1000,10
990,6869.798663879395,7525.62255859375,112.32654013360717,0.13131838217377662,0.04123801551759243,1000,10
