traj_len,returns_mean,returns_median,returns_ci,avg_forget_target_mean_distance,avg_retain_target_mean_distance,n_returns,n_runs
100,4674.708493774414,4671.663818359375,7.142673699480921,0.043989117816090585,0.03843405693769455,1000,10
250,4682.564111938476,4702.73681640625,10.7198899047999,0.051958395168185234,0.04330351576209068,1000,10
500,4629.716874511719,4675.840576171875,20.644333837837312,0.059924237057566644,0.044957872852683066,1000,10
750,4635.910967895507,4657.529541015625,11.369145563750742,0.07121260911226272,0.046292805671691896,1000,10
990,4657.3431995849605,4682.339111328125,16.991567024415566,0.0901357963681221,0.0518218956887722,1000,10
