traj_len,returns_mean,returns_median,returns_ci,avg_forget_target_mean_distance,avg_retain_target_mean_distance,n_returns,n_runs
100,4701.951731933594,4699.273681640625,3.7007045808031207,0.2421291023492813,0.04512614570558071,1000,10
250,4680.340704101563,4683.320068359375,6.3947192823962,0.35498536229133604,0.0493208359926939,1000,10
500,4680.778395996093,4686.544677734375,5.718508135918781,0.44414618909358977,0.04828782007098198,1000,10
750,4682.478269042968,4683.3515625,3.959665757712416,0.498883518576622,0.04957638867199421,1000,10
990,4712.49500012207,4720.848388671875,8.093707116047272,0.5089939206838607,0.05112982802093029,1000,10
